strategy,γ,EA_sim,EA_real,ΔEA,Err_EA_real,EB_sim,EB_real,ΔEB,Err_EB_real,Mis_sim,Mis_real,ΔMis,Err_Mis_real,Var_P00,Var_P01,Var_P10,Var_P11,Time_real_s
R(pi),0.0,2.0,1.9306798135080645,0.0693201864919355,0.002016227473655173,3.0,2.894720262096774,0.10527973790322598,0.0029995340167766286,0.0,0.03491998487903226,-0.03491998487903226,0.0008977153437935595,2.8507683866767465e-07,1.02986571609333e-05,1.4684020832020752e-05,3.086366961079261e-05,15.76331901550293
R(pi),0.10471975511965977,2.001953125,1.9378150201612905,0.06413810483870952,0.002675734222795538,2.998046875,2.8894751764112905,0.10857169858870952,0.0037753340606454418,0.0,0.034541960685483875,-0.034541960685483875,0.001082710439000631,3.5403877176264285e-06,2.5421060541624668e-06,3.3798012682186644e-05,4.7520668275894656e-05,11.681100845336914
R(pi),0.20943951023931953,2.0126953125,1.9211504536290323,0.09154485887096775,0.002528443212932524,2.9873046875,2.8445533014112905,0.14275138608870952,0.0035535381959945433,0.0,0.046859248991935484,-0.046859248991935484,0.001284133877452832,3.3511910387264795e-06,3.6997948923418594e-05,1.41210453484648e-05,4.200576454080564e-05,20.314075708389282
R(pi),0.3141592653589793,2.029296875,2.003181703629032,0.02611517137096797,0.0033371253050738007,2.970703125,2.878922001008064,0.09178112399193594,0.003720122244286037,0.0,0.023579259072580648,-0.023579259072580648,0.0007866888768928066,2.1399733840778308e-05,3.3911838326402888e-06,1.579407722719254e-05,3.8157739946919107e-05,26.15746545791626
R(pi),0.41887902047863906,2.04345703125,1.9020917338709677,0.14136529737903225,0.004215592846060762,2.95654296875,2.732327368951613,0.224215599798387,0.004836583781414988,0.0,0.07311617943548387,-0.07311617943548387,0.0013274340573727684,3.16537836546539e-05,6.476781701528898e-06,4.814773477533812e-05,6.650596536615843e-05,30.265798807144165
R(pi),0.5235987755982988,2.06591796875,1.956086189516129,0.109831779233871,0.0065535500988776925,2.93408203125,2.7477948588709675,0.18628717237903247,0.009036504923417274,0.0,0.05922379032258064,-0.05922379032258064,0.0025516730292775734,2.8571262154527888e-05,1.7617338447160621e-06,0.00020008035885390413,0.00026856955661568575,11.061275482177734
R(pi),0.6283185307179586,2.09033203125,1.863643523185484,0.22668850806451601,0.01855109258808023,2.90966796875,2.523957283266129,0.385710685483871,0.014183687287869447,0.0,0.12247983870967742,-0.12247983870967742,0.004594203026242102,0.0010933840146628757,1.1095949398574007e-05,0.0006432117954377206,0.00020699449764784947,20.8680419921875
R(pi),0.7330382858376183,2.12451171875,2.0282730594758065,0.0962386592741935,0.006739308902208007,2.87548828125,2.735934349798387,0.139553931451613,0.00829443757575678,0.0,0.04715851814516129,-0.04715851814516129,0.0019975855421481468,6.370441887968331e-05,1.6082743162749915e-05,0.00010761804478142851,0.00020865676223590814,10.88888168334961
R(pi),0.8377580409572781,2.17041015625,2.100365423387097,0.07004473286290303,0.009804383635720969,2.82958984375,2.710071194556452,0.11951864919354804,0.011464707119844788,0.0,0.03791267641129033,-0.03791267641129033,0.0013031837452530135,0.00016185596425046198,3.847152956070438e-05,1.4175394529937419e-05,0.00038080010362850713,20.44222068786621
R(pi),0.9424777960769379,2.19384765625,2.0991683467741935,0.0946793094758065,0.005574459556444445,2.80615234375,2.6756709929435485,0.1304813508064515,0.005909074874014565,0.0,0.04503213205645162,-0.04503213205645162,0.001141261713800726,6.677053307974212e-05,5.619500273017474e-06,3.475732700799101e-05,9.059444550544984e-05,26.69129490852356
R(pi),1.0471975511965976,2.2666015625,2.1818768901209675,0.08472467237903247,0.006982163261848427,2.7333984375,2.656439012096774,0.07695942540322598,0.007025567602417944,0.0,0.03233681955645161,-0.03233681955645161,0.0010874281206801392,0.00011509156996204008,6.0676246561029905e-06,3.058987279092112e-05,0.00011886114715248026,20.586463928222656
R(pi),1.1519173063162573,2.3173828125,2.1994707661290325,0.11791204637096753,0.007321099499097705,2.6826171875,2.642782888104839,0.03983429939516103,0.0076108375487398605,0.0,0.031549269153225805,-0.031549269153225805,0.0006775130926341175,0.0001195584574053365,5.38005623766171e-06,8.84968747374832e-06,0.00014638182937457995,15.96670913696289
R(pi),1.2566370614359172,2.3466796875,2.236548639112903,0.11013104838709697,0.01062706324025969,2.6533203125,2.5234847530241935,0.1298355594758065,0.008502820549964735,0.0,0.04799332157258064,-0.04799332157258064,0.002741432674663879,0.00034682725065497927,0.0002114034468127835,2.1575599588373657e-05,9.488085264800697e-05,16.71278142929077
R(pi),1.361356816555577,2.38134765625,2.273988785282258,0.10735887096774199,0.005977954756171891,2.61865234375,2.4818705897177415,0.13678175403225845,0.0057828612898862645,0.0,0.048828125,-0.048828125,0.0008790135083847685,8.959360020135039e-05,1.4090281660838796e-05,9.862325524771086e-06,7.536795831495715e-05,11.13460087776184
R(pi),1.4660765716752366,2.44091796875,2.32634513608871,0.11457283266129004,0.007274802765945251,2.55908203125,2.412109375,0.14697265625,0.007374429543210085,0.0,0.05230909778225806,-0.05230909778225806,0.0012415285204130553,0.00012341622383363785,1.5270069081296203e-05,3.251311599567373e-05,0.000132464849820701,11.458484649658203
R(pi),1.5707963267948966,2.49658203125,2.41162109375,0.0849609375,0.008290940251943423,2.50341796875,2.424568422379032,0.07884954637096797,0.00840788948184692,0.0,0.03276209677419355,-0.03276209677419355,0.00105080199425755,0.00016019216147802206,2.0660892609627016e-05,1.3568837155577956e-05,0.00017230023619949173,14.258049964904785
R(pi),1.6755160819145563,2.54638671875,2.4526524697580645,0.0937342489919355,0.006764841895790796,2.45361328125,2.3744014616935485,0.07921181955645151,0.006899297539008244,0.0,0.03458921370967742,-0.03458921370967742,0.0008447103747062372,0.00010562250691075477,6.909524240801412e-06,1.5210079890425487e-05,0.00011701327498241138,10.439809322357178
