strategy,γ,EA_sim,EA_real,ΔEA,Err_EA_real,EB_sim,EB_real,ΔEB,Err_EB_real,Mis_sim,Mis_real,ΔMis,Err_Mis_real,Var_P00,Var_P01,Var_P10,Var_P11,Time_real_s
R(pi),0.0,2.0,1.929136214717742,0.07086378528225801,0.003612321231041118,3.0,2.891696068548387,0.10830393145161299,0.0054034314692683145,0.0,0.035833543346774195,-0.035833543346774195,0.0014161257084117395,3.107132450226814e-07,3.3629325128370705e-05,2.8538447554393485e-05,0.00010042959643948471,11.794981002807617
R(pi),0.10471975511965977,2.001953125,1.8850176411290323,0.11693548387096775,0.014360734595926504,2.998046875,2.8000409526209675,0.19800592237903247,0.02124905639740222,0.0,0.06298828125,-0.06298828125,0.005090784937367847,2.3839806997647848e-05,0.0006961781491515458,0.00010722068048292593,0.0015446483447987547,12.864742994308472
R(pi),0.20943951023931953,2.0126953125,1.8152564264112903,0.19743888608870974,0.025980398540383132,2.9873046875,2.6818926411290325,0.3054120463709675,0.038847600956196576,0.0,0.10057018649193547,-0.10057018649193547,0.011167808316957292,1.825927406228999e-05,8.373055406796036e-05,0.003782587666665353,0.005190020222817698,11.201202154159546
R(pi),0.3141592653589793,2.029296875,1.8180128528225805,0.21128402217741948,0.03345553144128358,2.970703125,2.6188886088709675,0.3518145161290325,0.0498633562511426,0.0,0.11261970766129033,-0.11261970766129033,0.013148332962217254,6.106335629699052e-05,0.0012341012236892536,0.004125137226555937,0.008536969974476805,11.635557651519775
R(pi),0.41887902047863906,2.04345703125,1.7871881300403225,0.2562689012096775,0.034874100377632805,2.95654296875,2.55859375,0.39794921875,0.05216981417169638,0.0,0.13084362399193547,-0.13084362399193547,0.015447982403878988,2.8170821487262695e-05,0.00012410789407709595,0.007273737076790103,0.009362187949560027,11.393744945526123
R(pi),0.5235987755982988,2.06591796875,1.9088016633064515,0.1571163054435485,0.009333487952520383,2.93408203125,2.672694052419355,0.261387978830645,0.013129278573470442,0.0,0.08370085685483872,-0.08370085685483872,0.004900688504725475,4.507598056588122e-05,0.0006279099372125443,0.00011660924521825648,0.0005737125232655518,11.526602029800415
R(pi),0.6283185307179586,2.09033203125,1.8618951612903225,0.2284368699596775,0.012522375673127946,2.90966796875,2.533738659274194,0.37592930947580605,0.01514495860604156,0.0,0.12087323588709678,-0.12087323588709678,0.0059533684935227085,0.00023550935970839638,8.891064633605301e-05,0.0010098098426736812,0.0006853806075229439,12.474552869796753
R(pi),0.7330382858376183,2.12451171875,2.0297694052419355,0.0947423135080645,0.009616390532808198,2.87548828125,2.749558971774193,0.12592930947580694,0.011719571394752102,0.0,0.044134324596774195,-0.044134324596774195,0.002556432765659472,0.00013491261389947712,1.6830300772061912e-05,0.0001857655022733955,0.0004131276120421706,12.534146547317505
R(pi),0.8377580409572781,2.17041015625,1.974861391129032,0.19554876512096797,0.023664014185497413,2.82958984375,2.559538810483871,0.270051033266129,0.03366599476056082,0.0,0.09311995967741934,-0.09311995967741934,0.010277854013268584,0.00024145341688586815,0.0002723247774185673,0.003002337999241327,0.0037966179591353223,12.364974975585938
R(pi),0.9424777960769379,2.19384765625,2.0357547883064515,0.1580928679435485,0.008628643166271774,2.80615234375,2.5977980090725805,0.20835433467741948,0.01130579665898521,0.0,0.07328944052419355,-0.07328944052419355,0.0033504236780428653,7.573404619770665e-05,8.648800593550487e-05,0.00026149749755859374,0.00040661288845923645,11.758621215820312
R(pi),1.0471975511965976,2.2666015625,2.107232862903226,0.15936869959677402,0.023294358901426063,2.7333984375,2.63752205141129,0.09587638608870996,0.01950540760155045,0.0,0.051049017137096774,-0.051049017137096774,0.002935028940617174,0.0016033203371109501,0.00019946713601389247,6.757910533617897e-05,0.0005978897053708314,13.28266716003418
R(pi),1.1519173063162573,2.3173828125,2.152989541330645,0.16439327116935498,0.013239260887404299,2.6826171875,2.5517578125,0.130859375,0.01887204168135281,0.0,0.05905052923387097,-0.05905052923387097,0.004719113470544153,7.291506695491012e-05,0.00011769879248834426,0.0005726721978956653,0.0011943458228982897,12.571956634521484
R(pi),1.2566370614359172,2.3466796875,2.1501071068548385,0.19657258064516148,0.01833138382110253,2.6533203125,2.430207283266129,0.223113029233871,0.018622755063732312,0.0,0.08393712197580645,-0.08393712197580645,0.007037373431303971,0.000780784442860593,0.0012162516194005166,0.0003190117497597971,0.0008475421577371577,15.297104120254517
R(pi),1.361356816555577,2.38134765625,2.216119581653226,0.16522807459677402,0.012738186030296668,2.61865234375,2.4164881552419355,0.2021641885080645,0.014444486256366077,0.0,0.07347845262096775,-0.07347845262096775,0.004623862164402771,0.00029844878822244623,0.00018370843702746975,0.00047907470374979,0.0005860159474034464,11.739131689071655
R(pi),1.4660765716752366,2.44091796875,2.296134702620968,0.14478326612903203,0.01792972608876592,2.55908203125,2.424521169354839,0.13456086189516103,0.016625669643442115,0.0,0.05586882560483871,-0.05586882560483871,0.00190908022480638,0.0008525592024608325,8.834767085249706e-05,2.4634535594653052e-05,0.0005731736460039692,11.407182216644287
R(pi),1.5707963267948966,2.49658203125,2.4157793598790325,0.08080267137096753,0.009025349611877167,2.50341796875,2.4060767389112905,0.09734122983870952,0.009691691385519457,0.0,0.035628780241935484,-0.035628780241935484,0.0014693194573729119,0.00017045082584504155,2.609632348501554e-05,4.082956621723791e-05,0.00024777689287739415,11.895796298980713
R(pi),1.6755160819145563,2.54638671875,2.465710055443548,0.08067666330645196,0.00814950013360191,2.45361328125,2.37922127016129,0.07439201108870996,0.008290155220664699,0.0,0.031013734879032258,-0.031013734879032258,0.0007972562206932816,0.00015396148927750126,9.281917284893733e-06,1.0422224639564433e-05,0.00016829788043934814,18.796106338500977
R(pi),1.780235837034216,2.60009765625,2.495857484879032,0.10424017137096797,0.009873842002276678,2.39990234375,2.295047883064516,0.10485446068548399,0.01326322111556459,0.0,0.04181892641129033,-0.04181892641129033,0.002858464429348516,8.288096356135541e-05,0.00020600749600318166,4.72878897061912e-05,0.0005690866901028542,12.032384634017944
R(pi),1.8849555921538759,2.65966796875,2.568705897177419,0.09096207157258096,0.010206655656517282,2.34033203125,2.282525831653226,0.05780619959677402,0.011071026406980208,0.0,0.02975365423387097,-0.02975365423387097,0.0018209100912056448,0.0002133333554831884,9.442503734301494e-05,8.362083024876095e-06,0.00032736255276587695,11.415773391723633
R(pi),1.9896753472735356,2.70263671875,2.614100302419355,0.08853641633064502,0.007182502278703716,2.29736328125,2.230200982862903,0.06716229838709697,0.007248284645451258,0.0,0.03113974294354839,-0.03113974294354839,0.0015010085370110358,0.00012120739106209047,9.893089212397093e-06,5.9950736261183206e-05,0.00012709299723307293,14.727512836456299
R(pi),2.0943951023931953,2.75732421875,2.64013671875,0.1171875,0.014655803055216677,2.24267578125,2.198336693548387,0.04433908770161299,0.012497558911124538,0.0,0.03230531754032258,-0.03230531754032258,0.0018215458014101658,0.0006239952579621347,8.912650487756218e-05,1.37323974281229e-05,0.0002606530343332599,10.344189643859863
R(pi),2.199114857512855,2.798828125,2.682601436491935,0.11622668850806495,0.012499411572735628,2.201171875,2.0953881048387095,0.10578377016129048,0.00991921738993634,0.0,0.04440209173387097,-0.04440209173387097,0.0039085273045477735,0.00048291042286862615,0.0004082341347971272,6.534002160513274e-05,0.0001242750434465306,12.133405447006226
R(pi),2.3038346126325147,2.837890625,2.646941154233871,0.190949470766129,0.03903192875268189,2.162109375,2.062689012096774,0.09942036290322598,0.031889183778948976,0.0,0.05807396673387097,-0.05807396673387097,0.005035797056363927,0.004599323580341955,0.00019151523549069637,0.0005946215762886951,0.001458580775927472,11.059906244277954
R(pi),2.4085543677521746,2.87548828125,2.826471144153226,0.04901713709677402,0.004889863183627096,2.12451171875,2.0947738155241935,0.029737903225806495,0.004373131542949734,0.0,0.01575100806451613,-0.01575100806451613,0.0007571960270742134,6.614910658969677e-05,1.1645593950825353e-05,6.128126575100806e-06,3.647291532126808e-05,11.710734605789185
R(pi),2.5132741228718345,2.900390625,2.796796244959677,0.10359438004032295,0.00945617555349515,2.099609375,2.021673387096774,0.07793598790322598,0.006983108364437318,0.0,0.03630607358870967,-0.03630607358870967,0.0026715368930197944,0.00029078863000357014,3.85345951203377e-05,0.00018271579537340387,3.872481725549185e-05,10.677367210388184
R(pi),2.617993877991494,2.93310546875,2.843135710685484,0.08996975806451601,0.006684577634561486,2.06689453125,2.02361076108871,0.043283770161290036,0.005452631061695303,0.0,0.02665070564516129,-0.02665070564516129,0.0021356763896629503,0.0001350777123564034,0.00013915697733561197,2.2375455466649857e-06,4.2372877879809334e-05,11.418571472167969
R(pi),2.722713633111154,2.9599609375,2.866888230846774,0.09307270665322598,0.005805652921247498,2.0400390625,1.990171370967742,0.04986769153225801,0.004772132625482505,0.0,0.028588079637096774,-0.028588079637096774,0.0019866969025998486,0.000101230477774015,1.149844097834761e-05,0.00011085746108844718,3.344987028388567e-05,19.387638330459595
R(pi),2.827433388230814,2.98486328125,2.8962323588709675,0.08863092237903247,0.004943100325984083,2.01513671875,1.980043472782258,0.03509324596774199,0.003901930904492085,0.0,0.02474483366935484,-0.02474483366935484,0.0013809361901400182,7.583454091061832e-05,4.091929363948042e-05,1.8197233958910868e-05,1.8737649404874412e-05,18.086232662200928
R(pi),2.9321531433504733,2.990234375,2.8845293598790325,0.10570501512096753,0.0070503102663203145,2.009765625,1.9549678679435485,0.05479775705645151,0.0050897890421223125,0.0,0.03210055443548387,-0.03210055443548387,0.0014821299647075528,0.00016393661499023438,1.7689633113081732e-05,5.040835308772261e-05,1.637089637018019e-05,11.49823808670044
R(pi),3.036872898470133,2.99755859375,2.897649949596774,0.09990864415322598,0.004372231310698049,2.00244140625,1.950589087701613,0.05185231854838701,0.0031023622013611938,0.0,0.03035219254032258,-0.03035219254032258,0.0024318624703148777,6.369262613275999e-05,0.00014152424309843328,4.180836421187207e-05,4.843742616714968e-06,11.198651552200317
R(pi),3.141592653589793,3.0,2.9075415826612905,0.09245841733870952,0.005970913333414135,2.0,1.9516444052419355,0.0483555947580645,0.004339081114864297,0.0,0.028162802419354836,-0.028162802419354836,0.0016982236007081724,0.0001171112060546875,3.4903967252341645e-05,5.449889808572749e-05,1.2801283149309053e-05,18.879204511642456
