strategy,γ,EA_sim,EA_real,ΔEA,Err_EA_real,EB_sim,EB_real,ΔEB,Err_EB_real,Mis_sim,Mis_real,ΔMis,Err_Mis_real,Var_P00,Var_P01,Var_P10,Var_P11,Time_real_s
R(pi),0.0,2.0,1.9397366431451613,0.060263356854838745,0.0012964715877925221,3.0,2.9083448840725805,0.09165511592741948,0.0019221178288795235,0.0,0.030383694556451617,-0.030383694556451617,0.0007012295013089739,1.6663664130754367e-07,7.310477636193718e-06,7.93292958249328e-06,1.2651566536195814e-05,36.03430104255676
R(pi),0.10471975511965977,2.001953125,1.9548418598790323,0.04711126512096775,0.0017873704659756228,2.998046875,2.914582283266129,0.083464591733871,0.0024575072555391296,0.0,0.026115171370967742,-0.026115171370967742,0.0007396268196745146,2.1914000152259745e-06,1.8909413327452964e-06,1.5067541471091651e-05,1.9828222131216392e-05,12.24467945098877
R(pi),0.20943951023931953,2.0126953125,1.9232610887096775,0.08943422379032251,0.0029067616596652915,2.9873046875,2.8476404989919355,0.1396641885080645,0.004011954184801774,0.0,0.04581968245967742,-0.04581968245967742,0.00134370039463439,5.561049266528058e-06,4.761295933877267e-05,8.35849392798639e-06,5.296943008258778e-05,11.752685546875
R(pi),0.3141592653589793,2.029296875,1.9934318296370968,0.03586504536290325,0.0036708951248428127,2.970703125,2.8674080141129035,0.10329511088709653,0.003969522790360364,0.0,0.02783203125,-0.02783203125,0.0008313389417662177,2.778114811066659e-05,2.9081939369119627e-06,1.851666358209425e-05,4.192731713735931e-05,10.599358081817627
R(pi),0.41887902047863906,2.04345703125,1.90673828125,0.13671875,0.004048158203891796,2.95654296875,2.739021547379032,0.21752142137096797,0.005427851619028911,0.0,0.07084803427419355,-0.07084803427419355,0.0013240906094219526,1.4136939920404911e-05,5.496958250640543e-06,4.8852735950100794e-05,9.519566771804645e-05,19.956669092178345
R(pi),0.5235987755982988,2.06591796875,1.9502740675403225,0.11564390120967749,0.005282647967733422,2.93408203125,2.7512443296370965,0.18283770161290347,0.007084375496935468,0.0,0.059696320564516125,-0.059696320564516125,0.0020039467230361383,2.4038745510962702e-05,1.4412787652784776e-06,0.0001230485977665071,0.00016218718662056874,12.58895230293274
R(pi),0.6283185307179586,2.09033203125,1.8195091985887095,0.2708228326612905,0.006644447827968486,2.90966796875,2.506190146169355,0.403477822580645,0.007689303793784262,0.0,0.1348601310483871,-0.1348601310483871,0.0018488311138634488,7.670669145481561e-05,9.649543352024532e-06,9.631392776325184e-05,0.00016956226800077706,14.710119009017944
R(pi),0.7330382858376183,2.12451171875,1.9586693548387097,0.16584236391129026,0.007077740784839771,2.87548828125,2.6442477318548385,0.23124054939516148,0.008965509210650226,0.0,0.07941658266129033,-0.07941658266129033,0.00256424605271572,6.167965550576488e-05,1.803111004573043e-05,0.0001858049823391822,0.0002494524883967573,13.249648094177246
R(pi),0.8377580409572781,2.17041015625,2.0846459173387095,0.08576423891129048,0.006042373566412322,2.82958984375,2.652391003024194,0.17719884072580605,0.006755155452512905,0.0,0.05259261592741935,-0.05259261592741935,0.0013091857892639734,6.966129426033266e-05,2.714382704868111e-05,2.598916330645161e-05,0.0001262167448638588,11.880901575088501
R(pi),0.9424777960769379,2.19384765625,2.1078629032258065,0.0859847530241935,0.006718232400519625,2.80615234375,2.680443548387097,0.12570879536290303,0.0068775846791329885,0.0,0.04233870967741936,-0.04233870967741936,0.0011527399401671276,0.0001034957106395434,3.400412938928091e-06,3.779267752042381e-05,0.00011692816211331278,27.236472845077515
R(pi),1.0471975511965976,2.2666015625,2.190067414314516,0.07653414818548399,0.007263569584241262,2.7333984375,2.6779391381048385,0.05545929939516148,0.007803643506248795,0.0,0.02639868951612903,-0.02639868951612903,0.0012224987741486176,0.00011028730741111186,3.4347657234438004e-06,4.289483511319724e-05,0.0001607392423896379,10.736828565597534
R(pi),1.1519173063162573,2.3173828125,2.18976814516129,0.12761466733870996,0.006663253550891712,2.6826171875,2.6260238155241935,0.056593371975806495,0.006830097938673038,0.0,0.036841607862903226,-0.036841607862903226,0.0008503113296294515,0.00010157964562857022,7.597092659242693e-06,1.4816817416939683e-05,0.00011553764343261719,10.693603515625
R(pi),1.2566370614359172,2.3466796875,2.234737273185484,0.11194241431451601,0.007598814788354883,2.6533203125,2.523484753024194,0.12983555947580605,0.00693943130744398,0.0,0.048355594758064516,-0.048355594758064516,0.0019290108950927982,0.00015598009991389444,9.793414864488827e-05,1.741942539009997e-05,9.654516814857402e-05,11.267302989959717
R(pi),1.361356816555577,2.38134765625,2.2714686239919355,0.1098790322580645,0.00878583831521234,2.61865234375,2.473365045362903,0.14528729838709697,0.0085992801271272,0.0,0.05103326612903226,-0.05103326612903226,0.0009675615751035345,0.00019025802612304688,1.7942920807869202e-05,1.1078516642252605e-05,0.0001701493417063067,10.739087343215942
R(pi),1.4660765716752366,2.44091796875,2.315020161290323,0.12589780745967705,0.008831514982556014,2.55908203125,2.411384828629032,0.14769720262096797,0.008647644835972896,0.0,0.05471900201612903,-0.05471900201612903,0.0012663457844452224,0.00019212076740880162,1.9689785536899363e-05,3.002279548234837e-05,0.00017219461420530917,10.604103326797485
R(pi),1.5707963267948966,2.49658203125,2.404391381048387,0.09219065020161299,0.008634993194690197,2.50341796875,2.421008694556452,0.08240927419354804,0.00816675920709522,0.0,0.03491998487903226,-0.03491998487903226,0.001153234843052245,0.00019281243765225975,3.2949447631835935e-05,8.279021068285874e-06,0.00014403609819309688,10.576746940612793
R(pi),1.6755160819145563,2.54638671875,2.4608744959677415,0.08551222278225845,0.006840910203256841,2.45361328125,2.377992691532258,0.07562058971774199,0.006540313467405289,0.0,0.0322265625,-0.0322265625,0.0009141738171372076,0.00011926876601352488,1.0156118741599463e-05,1.5751008064516132e-05,9.433018263950144e-05,13.193237781524658
R(pi),1.780235837034216,2.60009765625,2.4718529485887095,0.12824470766129048,0.008814595864847466,2.39990234375,2.2711693548387095,0.12873298891129048,0.008767645520660313,0.0,0.051395539314516125,-0.051395539314516125,0.0009665952746084927,0.00018685248590284782,9.958718412665908e-06,1.9004780759093583e-05,0.00018173443373813424,11.833200454711914
R(pi),1.8849555921538759,2.65966796875,2.5892767137096775,0.07039125504032251,0.0078118923770006034,2.34033203125,2.274555821572581,0.06577620967741904,0.007608640160221012,0.0,0.02723349294354839,-0.02723349294354839,0.0011768297626031019,0.00015150193245180193,3.9185759841754876e-05,3.7470171528477816e-06,0.00013206953643470678,10.356270790100098
