strategy,γ,EA_sim,EA_real,ΔEA,Err_EA_real,EB_sim,EB_real,ΔEB,Err_EB_real,Mis_sim,Mis_real,ΔMis,Err_Mis_real,Var_P00,Var_P01,Var_P10,Var_P11,Time_real_s
R(pi),0.0,2.0,1.9422095514112905,0.05779044858870952,0.0014897489613896137,3.0,2.912172379032258,0.08782762096774199,0.0022009330949143003,0.0,0.02912361391129032,-0.02912361391129032,0.0007163159486505998,2.8507683866767465e-07,4.246927076770414e-06,1.1659437610257057e-05,1.6558554864698838e-05,12.046548843383789
R(pi),0.10471975511965977,2.001953125,1.9464623235887097,0.05549080141129026,0.0019993855885235617,2.998046875,2.902249243951613,0.09579763104838701,0.0028345542587705306,0.0,0.030257686491935484,-0.030257686491935484,0.0008993811812351721,1.8309521418745798e-06,1.9365741360572073e-06,2.3138907647901968e-05,2.686131385064893e-05,11.52819275856018
R(pi),0.20943951023931953,2.0126953125,1.9238438760080645,0.0888514364919355,0.002350706251812672,2.9873046875,2.8491053427419355,0.1381993447580645,0.002984074100940033,0.0,0.04541015625,-0.04541015625,0.0009359951778957506,6.731094852570566e-06,8.739450926421791e-06,1.841924523794523e-05,2.7680140669627865e-05,18.85587501525879
R(pi),0.3141592653589793,2.029296875,2.0054498487903225,0.02384702620967749,0.0035335424536728677,2.970703125,2.88232421875,0.08837890625,0.0038795684647830917,0.0,0.022445186491935484,-0.022445186491935484,0.000676254693247532,2.4880645095661133e-05,2.313429309475807e-06,1.1863503404842911e-05,4.0784446142053085e-05,13.819262742996216
R(pi),0.41887902047863906,2.04345703125,1.915558845766129,0.127898185483871,0.003858026077255165,2.95654296875,2.7562689012096775,0.2002740675403225,0.004484894068680693,0.0,0.06563445060483872,-0.06563445060483872,0.0011203606892390232,2.5516427973265294e-05,6.14607205954931e-06,3.276537823420699e-05,5.7941867459204884e-05,11.006090879440308
R(pi),0.5235987755982988,2.06591796875,1.9631583921370968,0.10275957661290325,0.0045451634629327204,2.93408203125,2.765688004032258,0.168394027217742,0.005774725705641929,0.0,0.05423072076612903,-0.05423072076612903,0.001603490786020969,2.505599811512938e-05,1.8888904202368952e-06,7.78177733062416e-05,0.00010372746375299273,28.469327688217163
R(pi),0.6283185307179586,2.09033203125,1.8642578125,0.22607421875,0.01408042334468656,2.90966796875,2.529170866935484,0.380497101814516,0.01192614838520269,0.0,0.12131426411290322,-0.12131426411290322,0.003050503062973114,0.0005796488895211167,1.3754957465715303e-05,0.00027471767958774356,0.000232291990710843,12.195526838302612
R(pi),0.7330382858376183,2.12451171875,2.015829763104839,0.10868195564516103,0.0044056632938454,2.87548828125,2.719317036290323,0.15617124495967705,0.004737656062584063,0.0,0.052970640120967735,-0.052970640120967735,0.0011882288777267359,4.049424202211442e-05,7.27920122044061e-06,3.648932262133527e-05,5.9314440655451955e-05,19.611854076385498
R(pi),0.8377580409572781,2.17041015625,2.11101310483871,0.059397051411290036,0.004695412226299274,2.82958984375,2.7301379788306455,0.09945186491935454,0.00525060903188041,0.0,0.03176978326612903,-0.03176978326612903,0.0011060154038524518,4.203909186906713e-05,2.348756277433006e-05,1.4433809505995885e-05,7.627548709992441e-05,11.887342929840088
R(pi),0.9424777960769379,2.19384765625,2.088709677419355,0.10513797883064502,0.00556578758519573,2.80615234375,2.663841985887097,0.14231035786290303,0.005483488242048243,0.0,0.04948966733870968,-0.04948966733870968,0.001171123904792254,7.560535143780454e-05,6.180937572192121e-06,3.6336529639459425e-05,6.996739295221142e-05,10.940488815307617
R(pi),1.0471975511965976,2.2666015625,2.1967300907258065,0.0698714717741935,0.005280800394157521,2.7333984375,2.678915700604839,0.05448273689516103,0.005218164201219217,0.0,0.02487084173387097,-0.02487084173387097,0.0006377116141920443,6.775394562752016e-05,4.557640321793095e-06,8.049318867345011e-06,6.367673156081986e-05,10.558332920074463
R(pi),1.1519173063162573,2.3173828125,2.204337827620968,0.11304498487903203,0.0059621383512876705,2.6826171875,2.6345293598790325,0.04808782762096753,0.006329630993955922,0.0,0.0322265625,-0.0322265625,0.0007675014394579606,7.614884325253066e-05,7.103848200972363e-06,1.1156964045698923e-05,0.0001041550790109942,10.602061033248901
R(pi),1.2566370614359172,2.3466796875,2.2617345010080645,0.0849451864919355,0.006778825932958479,2.6533203125,2.5494896673387095,0.10383064516129048,0.0066808515449516504,0.0,0.037755166330645164,-0.037755166330645164,0.0009267698263202905,0.00011209467405913978,6.782880393407678e-06,1.98430912469023e-05,0.00010391871134440104,11.217185497283936
R(pi),1.361356816555577,2.38134765625,2.2704920614919355,0.1108555947580645,0.006532664213590154,2.61865234375,2.4737115675403225,0.1449407762096775,0.006548993119641995,0.0,0.05115927419354839,-0.05115927419354839,0.0008996202194270967,0.00010135763434953587,1.2294195031607024e-05,1.2794617683656754e-05,0.00010268201110183552,12.358347415924072
R(pi),1.4660765716752366,2.44091796875,2.334441154233871,0.106476814516129,0.007163278398168831,2.55908203125,2.421181955645161,0.13790007560483897,0.007397613155433217,0.0,0.04887537802419355,-0.04887537802419355,0.0009759356458025351,0.00011585143304640249,1.1943488992670532e-05,1.7582472934517807e-05,0.00013700659557055404,10.576943635940552
R(pi),1.5707963267948966,2.49658203125,2.432097404233871,0.064484627016129,0.007051586343134511,2.50341796875,2.4453597530241935,0.058058215725806495,0.006906950239083952,0.0,0.024508568548387098,-0.024508568548387098,0.0004990029398546965,0.0001224261458202075,4.093621366767473e-06,3.625500586725051e-06,0.00010990891405331194,10.615977048873901
R(pi),1.6755160819145563,2.54638671875,2.459126134072581,0.08726058467741904,0.007372364725979498,2.45361328125,2.373834425403226,0.07977885584677402,0.007092713502200815,0.0,0.03340788810483871,-0.03340788810483871,0.0008352886948021388,0.00013732499973748323,7.450965143019154e-06,1.4177958170572917e-05,0.00011224490340038012,11.196875095367432
