strategy,γ,EA_sim,EA_real,ΔEA,Err_EA_real,EB_sim,EB_real,ΔEB,Err_EB_real,Mis_sim,Mis_real,ΔMis,Err_Mis_real,Var_P00,Var_P01,Var_P10,Var_P11,Time_real_s
R(pi/4),0.0,2.19189453125,2.1220545614919355,0.0698399697580645,0.005302913197812117,1.501953125,1.4673639112903225,0.03458921370967749,0.00411072945621068,0.26123046875,0.2821163054435484,-0.020885836693548376,0.0019474344917369273,8.846713650611136e-05,3.528594970703125e-05,8.228158438077534e-05,1.8885827833606352e-05,16.717082262039185
R(pi/4),0.10471975511965977,2.33349609375,2.285061743951613,0.04843434979838701,0.00626496222015268,1.6142578125,1.5885836693548387,0.025674143145161255,0.0047028300480188865,0.21044921875,0.2252709173387097,-0.014821698588709686,0.0018994000364448186,0.00012628032315161925,6.93951883623677e-05,4.244414708947622e-05,2.0054847963394656e-05,12.320859909057617
R(pi/4),0.20943951023931953,2.35205078125,2.2817382812500004,0.07031249999999956,0.005684700071634579,1.6689453125,1.6069493447580645,0.0619959677419355,0.004534791541577426,0.19580078125,0.22226247479838712,-0.026461693548387122,0.0017383148183338763,9.947899849184097e-05,4.8330265988585764e-05,4.5343624648227474e-05,2.6619818902784783e-05,11.22498345375061
R(pi/4),0.3141592653589793,2.39990234375,2.3916015625,0.00830078125,0.006539342308372035,1.73095703125,1.7522523941532258,-0.021295362903225756,0.006128301420393142,0.173828125,0.17122920866935482,0.0025989163306451846,0.0016742859753965163,0.00011190650283649402,2.9387012604744205e-05,5.751322674494917e-05,7.962360176988825e-05,10.957522869110107
R(pi/4),0.41887902047863906,2.46142578125,2.4481319304435485,0.013293850806451513,0.006982318419044874,1.80615234375,1.768334173387097,0.037818170362903025,0.005856143458565937,0.146484375,0.15670677923387097,-0.010222404233870969,0.0014648324589112765,0.00014383869786416332,2.460479736328125e-05,4.19129607498005e-05,5.419690121886552e-05,11.96703577041626
R(pi/4),0.5235987755982988,2.47314453125,2.2751858618951615,0.19795866935483852,0.006961338542191232,1.86279296875,1.7408486643145162,0.12194430443548376,0.005880281180975612,0.1328125,0.1967930947580645,-0.0639805947580645,0.0020911976986617157,0.0001420426112349315,2.9426492670530907e-05,0.00010613984959099881,5.5970940538631984e-05,15.842191457748413
R(pi/4),0.6283185307179586,2.49755859375,2.171717489919355,0.325841103830645,0.009607028640889491,1.95068359375,1.8826707409274193,0.06801285282258074,0.008812904137180276,0.1103515625,0.18912235383064516,-0.07877079133064516,0.001530432874280486,0.00024799326414703043,2.0070742535334766e-05,5.2538225727696555e-05,0.00015730140029743148,11.720555067062378
R(pi/4),0.7330382858376183,2.5703125,2.3525863155241935,0.2177261844758065,0.008641994080736841,2.03173828125,1.9221585181451613,0.10957976310483875,0.007701373206881244,0.07958984375,0.14505103326612903,-0.06546118951612903,0.002241171597455882,0.00020741954926521545,0.00013212439834430655,2.3583955662224883e-05,0.00011210749226231728,12.379249334335327
R(pi/4),0.8377580409572781,2.57666015625,2.470624369959677,0.10603578629032295,0.007372407351626259,2.09130859375,2.050938760080645,0.04036983366935498,0.006784838824968014,0.06640625,0.09568737399193548,-0.029281123991935484,0.0011846880350649689,0.00014547840241462955,2.4610437372679354e-05,1.8897620580529655e-05,9.390461829400835e-05,11.635498762130737
R(pi/4),0.9424777960769379,2.59130859375,2.5188539566532255,0.07245463709677447,0.006841898991927034,2.181640625,2.097924017137097,0.08371660786290303,0.00631117034022604,0.04541015625,0.07664440524193548,-0.031234248991935484,0.0012063188313191492,0.00012494466638052331,2.2712830574281754e-05,2.2398528232369373e-05,8.166425971574682e-05,16.705580949783325
